丁	dīng
万	wàn
上	shàng
丌	qí
与	yǔ
丧	sàng
丨	gǔn
个	gè
中	zhōng
丱	guàn
为	wèi
丼	jǐng
丽	lì
乀	fú
乇	tuō
么	me
乌	wū
乐	lè
乘	chéng
乙	yǐ
乜	Niè
乿	zhì
了	liǎo
予	yǔ
亟	jí
亲	qīn
亹	wěi
什	shén
仆	pú
仇	chóu
仔	zǎi
仡	yì
令	lìng
价	jià
任	rèn
会	huì
传	chuán
伭	xián
伯	bó
估	gū
伲	nì
伺	sì
似	sì
伽	jiā
佃	diàn
体	tǐ
佚	yì
佛	Fó
作	zuò
佝	gōu
佣	yōng
侗	Dòng
供	gòng
侥	jiǎo
侧	cè
侯	hóu
便	biàn
俊	jùn
俞	yú
俟	sì
俩	liǎ
倒	dǎo
倔	juè
倘	tǎng
倞	liàng
倥	kǒng
假	jiǎ
偈	jì
偲	cāi
偻	lǚ
傀	kuǐ
傿	Yān
僮	tóng
儿	ér
免	miǎn
六	liù
兴	xīng
兹	zī
冘	yóu
写	xiě
冠	guān
冯	Féng
冲	chōng
凉	liáng
几	jǐ
凹	āo
分	fēn
切	qiè
划	huà
创	chuàng
刨	páo
别	bié
刱	chuàng
刷	shuā
刹	chà
刺	cì
削	xiāo
剌	là
剡	yǎn
剥	bāo
剿	jiǎo
劈	pī
劐	huō
劦	xié
劲	jìn
勒	lè
勾	gōu
化	huà
匙	chí
匮	kuì
区	qū
华	huá
卒	zú
单	dān
南	nán
卛	shuài
卜	bǔ
卝	kuàng
占	zhàn
卡	kǎ
卷	juàn
厂	chǎng
压	yā
厕	cè
厦	shà
厪	jǐn
厶	sī
厷	gōng
厹	qiú
参	cān
叉	chā
发	fā
句	jù
叨	dāo
只	zhī
召	zhào
可	kě
台	tái
叶	yè
号	hào
吁	xū
吅	xuān
合	hé
同	tóng
吐	tǔ
吒	zhà
吓	xià
吗	ma
否	fǒu
吧	ba
听	tīng
吭	kēng
吱	zhī
吽	hōng
呀	ya
呐	nà
呒	fǔ
呔	dāi
呗	bài
呙	Guō
呛	qiàng
呢	ne
呤	lìng
呫	tiè
呱	guā
呲	cī
呵	hē
呶	náo
咀	zuǐ
咋	zǎ
和	hé
咖	kā
咥	xì
咧	liē
咯	gē
咱	zán
咳	hāi
咽	yàn
哄	hǒng
哇	wā
哈	hā
哏	gén
哑	yǎ
哕	yuě
哗	huá
哙	kuài
哟	yō
哦	ò
哪	nǎ
哺	bǔ
哼	hēng
唉	ài
唎	lì
唝	gòng
唠	lào
唫	yín
唯	wéi
唷	yō
啁	zhōu
啊	a
啦	lā
啰	luō
啴	tān
啵	bo
喁	yóng
喂	wèi
喇	lā
喏	nuò
喔	wō
喝	hē
喳	zhā
喷	pēn
喽	lou
嗄	á
嗌	ài
嗒	dā
嗳	ài
嘀	dí
嘎	gǎ
嘏	gǔ
嘚	dē
嘛	ma
嘬	zuō
嘲	cháo
噌	cēng
嚓	chā
嚵	chán
嚼	jiáo
囊	náng
囝	jiǎn
囤	tún
囱	cōng
圈	quān
圜	huán
圣	shèng
圩	xū
圫	tuō
地	dì
圱	qiān
场	chǎng
坆	méi
坊	fāng
坷	kē
坻	dǐ
垛	duò
埄	běng
埋	mái
埏	shān
埔	pǔ
埫	tǎng
堡	bǎo
塞	sāi
墫	zūn
壳	ké
处	chù
夅	jiàng
大	dà
夫	fū
夯	hāng
头	tóu
夹	jiá
奄	yǎn
奇	qí
奓	zhà
奔	bēn
奘	zàng
女	nǚ
好	hǎo
妻	qī
姆	mǔ
委	wěi
姥	lǎo
娒	wǔ
